 sid  | stid |   name    | ord | part | opt 
------+------+-----------+-----+------+-----
 6889 |   23 | rateus-pl |   0 |    0 |  50
 6889 |   23 | rateus-pl |   0 |    4 |  58
 6889 |   23 | rateus-pl |   0 |    3 |  54
 6889 |   23 | rateus-pl |   0 |    2 |  59
 6889 |   23 | rateus-pl |   0 |    1 |  56
 6893 |   23 | rateus-pl |   1 |    4 |  10
 6893 |   23 | rateus-pl |   1 |    0 |  27
 6893 |   23 | rateus-pl |   1 |    1 |  93
 6893 |   23 | rateus-pl |   1 |    2 |  57
 6893 |   23 | rateus-pl |   1 |    3 |  96
 6895 |   23 | rateus-pl |   2 |    0 |  50
 6895 |   23 | rateus-pl |   2 |    1 |  50
 6895 |   23 | rateus-pl |   2 |    2 |  49
 6895 |   23 | rateus-pl |   2 |    3 |  50
 6895 |   23 | rateus-pl |   2 |    4 |  52
 6896 |   23 | rateus-pl |   3 |    4 |   0
 6896 |   23 | rateus-pl |   3 |    0 |  50
 6896 |   23 | rateus-pl |   3 |    1 |   0
 6896 |   23 | rateus-pl |   3 |    2 |   0
 6896 |   23 | rateus-pl |   3 |    3 |   0
 6897 |   23 | rateus-pl |   0 |    0 |  12
 6897 |   23 | rateus-pl |   0 |    4 |  11
 6897 |   23 | rateus-pl |   0 |    3 |   8
 6897 |   23 | rateus-pl |   0 |    2 |  81
 6897 |   23 | rateus-pl |   0 |    1 |  66
 6898 |   23 | rateus-pl |   3 |    3 |   0
 6898 |   23 | rateus-pl |   3 |    4 |   1
 6898 |   23 | rateus-pl |   3 |    2 |   0
 6898 |   23 | rateus-pl |   3 |    1 |  14
 6898 |   23 | rateus-pl |   3 |    0 |  50
 6899 |   23 | rateus-pl |   1 |    4 |  89
 6899 |   23 | rateus-pl |   1 |    0 |  99
 6899 |   23 | rateus-pl |   1 |    1 |  99
 6899 |   23 | rateus-pl |   1 |    2 |  93
 6899 |   23 | rateus-pl |   1 |    3 |  95
 6900 |   23 | rateus-pl |   2 |    3 |  68
 6900 |   23 | rateus-pl |   2 |    0 |  99
 6900 |   23 | rateus-pl |   2 |    1 |  68
 6900 |   23 | rateus-pl |   2 |    2 |   0
 6900 |   23 | rateus-pl |   2 |    4 |  99
 6901 |   23 | rateus-pl |   2 |    4 |  81
 6901 |   23 | rateus-pl |   2 |    0 |  73
 6901 |   23 | rateus-pl |   2 |    1 |  49
 6901 |   23 | rateus-pl |   2 |    2 |  30
 6901 |   23 | rateus-pl |   2 |    3 |  25
 6902 |   23 | rateus-pl |   3 |    1 |   4
 6902 |   23 | rateus-pl |   3 |    2 |   1
 6902 |   23 | rateus-pl |   3 |    0 |  49
 6902 |   23 | rateus-pl |   3 |    3 |   1
 6902 |   23 | rateus-pl |   3 |    4 |   0
 6903 |   23 | rateus-pl |   0 |    2 |  99
 6903 |   23 | rateus-pl |   0 |    0 |   0
 6903 |   23 | rateus-pl |   0 |    4 |   0
 6903 |   23 | rateus-pl |   0 |    3 |  99
 6903 |   23 | rateus-pl |   0 |    1 |  49
 6904 |   23 | rateus-pl |   1 |    4 |   1
 6904 |   23 | rateus-pl |   1 |    0 |   0
 6904 |   23 | rateus-pl |   1 |    3 |  98
 6904 |   23 | rateus-pl |   1 |    2 |  87
 6904 |   23 | rateus-pl |   1 |    1 |  88
 6905 |   23 | rateus-pl |   2 |    1 |  49
 6905 |   23 | rateus-pl |   2 |    0 |  99
 6905 |   23 | rateus-pl |   2 |    4 |  75
 6905 |   23 | rateus-pl |   2 |    3 |  14
 6905 |   23 | rateus-pl |   2 |    2 |   0
 6906 |   23 | rateus-pl |   0 |    1 |  54
 6906 |   23 | rateus-pl |   0 |    0 |  34
 6906 |   23 | rateus-pl |   0 |    4 |  20
 6906 |   23 | rateus-pl |   0 |    3 |  50
 6906 |   23 | rateus-pl |   0 |    2 |  54
 6907 |   23 | rateus-pl |   1 |    4 |  62
 6907 |   23 | rateus-pl |   1 |    1 |  63
 6907 |   23 | rateus-pl |   1 |    2 |  61
 6907 |   23 | rateus-pl |   1 |    3 |  75
 6907 |   23 | rateus-pl |   1 |    0 |  20
 6908 |   23 | rateus-pl |   1 |    0 |  24
 6908 |   23 | rateus-pl |   1 |    4 |  36
 6908 |   23 | rateus-pl |   1 |    3 |  62
 6908 |   23 | rateus-pl |   1 |    2 |  50
 6908 |   23 | rateus-pl |   1 |    1 |  36
 6909 |   23 | rateus-pl |   2 |    0 |  92
 6909 |   23 | rateus-pl |   2 |    1 |  65
 6909 |   23 | rateus-pl |   2 |    2 |   0
 6909 |   23 | rateus-pl |   2 |    3 |  61
 6909 |   23 | rateus-pl |   2 |    4 |  75
 6910 |   23 | rateus-pl |   3 |    4 |  88
 6910 |   23 | rateus-pl |   3 |    3 |   3
 6910 |   23 | rateus-pl |   3 |    2 |   3
 6910 |   23 | rateus-pl |   3 |    1 |  42
 6910 |   23 | rateus-pl |   3 |    0 |  97
 6911 |   23 | rateus-pl |   0 |    1 |  78
 6911 |   23 | rateus-pl |   0 |    0 |  40
 6911 |   23 | rateus-pl |   0 |    4 |  67
 6911 |   23 | rateus-pl |   0 |    2 |  63
 6911 |   23 | rateus-pl |   0 |    3 |  64
 6912 |   23 | rateus-pl |   2 |    4 |  91
 6912 |   23 | rateus-pl |   2 |    3 |  97
 6912 |   23 | rateus-pl |   2 |    2 |  92
 6912 |   23 | rateus-pl |   2 |    1 |  99
 6912 |   23 | rateus-pl |   2 |    0 |  95
 6913 |   23 | rateus-pl |   3 |    2 |   0
 6913 |   23 | rateus-pl |   3 |    1 |  45
 6913 |   23 | rateus-pl |   3 |    4 |  62
 6913 |   23 | rateus-pl |   3 |    0 |  49
 6913 |   23 | rateus-pl |   3 |    3 |   1
 6914 |   23 | rateus-pl |   0 |    4 |   0
 6914 |   23 | rateus-pl |   0 |    3 |  47
 6914 |   23 | rateus-pl |   0 |    2 |  91
 6914 |   23 | rateus-pl |   0 |    1 |  72
 6914 |   23 | rateus-pl |   0 |    0 |   2
 6915 |   23 | rateus-pl |   0 |    2 |  93
 6915 |   23 | rateus-pl |   0 |    0 |   0
 6915 |   23 | rateus-pl |   0 |    1 |  78
 6915 |   23 | rateus-pl |   0 |    3 |   0
 6915 |   23 | rateus-pl |   0 |    4 |   0
 6916 |   23 | rateus-pl |   1 |    0 |  17
 6916 |   23 | rateus-pl |   1 |    4 |  21
 6916 |   23 | rateus-pl |   1 |    3 |  58
 6916 |   23 | rateus-pl |   1 |    2 |  24
 6916 |   23 | rateus-pl |   1 |    1 |  28
 6917 |   23 | rateus-pl |   2 |    4 |  46
 6917 |   23 | rateus-pl |   2 |    3 |   1
 6917 |   23 | rateus-pl |   2 |    2 |   1
 6917 |   23 | rateus-pl |   2 |    1 |   1
 6917 |   23 | rateus-pl |   2 |    0 |  50
 6918 |   23 | rateus-pl |   3 |    0 |  50
 6918 |   23 | rateus-pl |   3 |    1 |  49
 6918 |   23 | rateus-pl |   3 |    2 |   2
 6918 |   23 | rateus-pl |   3 |    3 |   1
 6918 |   23 | rateus-pl |   3 |    4 |   1
 6919 |   23 | rateus-pl |   1 |    0 |   1
 6919 |   23 | rateus-pl |   1 |    1 |  95
 6919 |   23 | rateus-pl |   1 |    2 |  89
 6919 |   23 | rateus-pl |   1 |    3 |  95
 6919 |   23 | rateus-pl |   1 |    4 |   5
 6922 |   23 | rateus-pl |   3 |    2 |   0
 6922 |   23 | rateus-pl |   3 |    0 |  94
 6922 |   23 | rateus-pl |   3 |    1 |  48
 6922 |   23 | rateus-pl |   3 |    3 |  20
 6922 |   23 | rateus-pl |   3 |    4 |  72
 6924 |   23 | rateus-pl |   0 |    1 |  74
 6924 |   23 | rateus-pl |   0 |    0 |  21
 6924 |   23 | rateus-pl |   0 |    4 |  28
 6924 |   23 | rateus-pl |   0 |    3 |  46
 6924 |   23 | rateus-pl |   0 |    2 |  86
 6925 |   23 | rateus-pl |   1 |    0 |  81
 6925 |   23 | rateus-pl |   1 |    4 |  88
 6925 |   23 | rateus-pl |   1 |    3 |  79
 6925 |   23 | rateus-pl |   1 |    2 |  92
 6925 |   23 | rateus-pl |   1 |    1 |  67
 6927 |   23 | rateus-pl |   2 |    0 |  95
 6927 |   23 | rateus-pl |   2 |    4 |  90
 6927 |   23 | rateus-pl |   2 |    3 |  39
 6927 |   23 | rateus-pl |   2 |    2 |   9
 6927 |   23 | rateus-pl |   2 |    1 |  61
 6928 |   23 | rateus-pl |   2 |    1 |  74
 6928 |   23 | rateus-pl |   2 |    0 |  98
 6928 |   23 | rateus-pl |   2 |    4 |  92
 6928 |   23 | rateus-pl |   2 |    3 |   2
 6928 |   23 | rateus-pl |   2 |    2 |   0
 6929 |   23 | rateus-pl |   3 |    0 |  80
 6929 |   23 | rateus-pl |   3 |    1 |  52
 6929 |   23 | rateus-pl |   3 |    2 |  10
 6929 |   23 | rateus-pl |   3 |    3 |  37
 6929 |   23 | rateus-pl |   3 |    4 |  78
 6930 |   23 | rateus-pl |   0 |    0 |  32
 6930 |   23 | rateus-pl |   0 |    4 |  37
 6930 |   23 | rateus-pl |   0 |    3 |  17
 6930 |   23 | rateus-pl |   0 |    2 |  48
 6930 |   23 | rateus-pl |   0 |    1 |  50
 6931 |   23 | rateus-pl |   1 |    0 |   0
 6931 |   23 | rateus-pl |   1 |    1 |  51
 6931 |   23 | rateus-pl |   1 |    2 |  53
 6931 |   23 | rateus-pl |   1 |    3 |  99
 6931 |   23 | rateus-pl |   1 |    4 |   0
 6932 |   23 | rateus-pl |   1 |    0 |   0
 6932 |   23 | rateus-pl |   1 |    4 |  22
 6932 |   23 | rateus-pl |   1 |    3 |  99
 6932 |   23 | rateus-pl |   1 |    2 |  83
 6932 |   23 | rateus-pl |   1 |    1 |  76
 6933 |   23 | rateus-pl |   3 |    0 |  71
 6933 |   23 | rateus-pl |   3 |    4 |  80
 6933 |   23 | rateus-pl |   3 |    3 |   0
 6933 |   23 | rateus-pl |   3 |    2 |   0
 6933 |   23 | rateus-pl |   3 |    1 |  26
 6934 |   23 | rateus-pl |   0 |    0 |  50
 6934 |   23 | rateus-pl |   0 |    1 |  20
 6934 |   23 | rateus-pl |   0 |    2 |   2
 6934 |   23 | rateus-pl |   0 |    3 |   1
 6934 |   23 | rateus-pl |   0 |    4 |   3
 6935 |   23 | rateus-pl |   2 |    0 |  93
 6935 |   23 | rateus-pl |   2 |    1 |  77
 6935 |   23 | rateus-pl |   2 |    2 |   0
 6935 |   23 | rateus-pl |   2 |    3 |  58
 6935 |   23 | rateus-pl |   2 |    4 |  91
 6937 |   23 | rateus-pl |   3 |    0 |  50
 6937 |   23 | rateus-pl |   3 |    1 |   5
 6937 |   23 | rateus-pl |   3 |    2 |  50
 6937 |   23 | rateus-pl |   3 |    3 |  91
 6937 |   23 | rateus-pl |   3 |    4 |   5
 6938 |   23 | rateus-pl |   0 |    0 |  13
 6938 |   23 | rateus-pl |   0 |    1 |  75
 6938 |   23 | rateus-pl |   0 |    2 |  76
 6938 |   23 | rateus-pl |   0 |    3 |  43
 6938 |   23 | rateus-pl |   0 |    4 |   9
 6939 |   23 | rateus-pl |   1 |    0 |  49
 6939 |   23 | rateus-pl |   1 |    1 |  56
 6939 |   23 | rateus-pl |   1 |    2 |  67
 6939 |   23 | rateus-pl |   1 |    3 |  81
 6939 |   23 | rateus-pl |   1 |    4 |  34
 6940 |   23 | rateus-pl |   2 |    2 |  65
 6940 |   23 | rateus-pl |   2 |    0 |  53
 6940 |   23 | rateus-pl |   2 |    1 |  50
 6940 |   23 | rateus-pl |   2 |    3 |  72
 6940 |   23 | rateus-pl |   2 |    4 |  63
 6950 |   23 | rateus-pl |   3 |    3 |   1
 6950 |   23 | rateus-pl |   3 |    4 |  40
 6950 |   23 | rateus-pl |   3 |    2 |   0
 6950 |   23 | rateus-pl |   3 |    1 |  38
 6950 |   23 | rateus-pl |   3 |    0 |  98
 6951 |   23 | rateus-pl |   0 |    2 |  96
 6951 |   23 | rateus-pl |   0 |    4 |   0
 6951 |   23 | rateus-pl |   0 |    3 |   0
 6951 |   23 | rateus-pl |   0 |    1 |  71
 6951 |   23 | rateus-pl |   0 |    0 |   7
 6952 |   23 | rateus-pl |   1 |    4 |  36
 6952 |   23 | rateus-pl |   1 |    1 |  30
 6952 |   23 | rateus-pl |   1 |    0 |  90
 6952 |   23 | rateus-pl |   1 |    2 |  41
 6952 |   23 | rateus-pl |   1 |    3 |  34
 6953 |   23 | rateus-pl |   2 |    4 |  33
 6953 |   23 | rateus-pl |   2 |    0 |  43
 6953 |   23 | rateus-pl |   2 |    2 |  56
 6953 |   23 | rateus-pl |   2 |    1 |  40
 6953 |   23 | rateus-pl |   2 |    3 |  47
 6954 |   23 | rateus-pl |   2 |    0 |  99
 6954 |   23 | rateus-pl |   2 |    1 |  31
 6954 |   23 | rateus-pl |   2 |    2 |   7
 6954 |   23 | rateus-pl |   2 |    3 |  10
 6954 |   23 | rateus-pl |   2 |    4 |  55
 6955 |   23 | rateus-pl |   3 |    3 |   6
 6955 |   23 | rateus-pl |   3 |    4 |  99
 6955 |   23 | rateus-pl |   3 |    2 |   0
 6955 |   23 | rateus-pl |   3 |    1 |  80
 6955 |   23 | rateus-pl |   3 |    0 |  99
 6956 |   23 | rateus-pl |   0 |    3 |  85
 6956 |   23 | rateus-pl |   0 |    2 |  80
 6956 |   23 | rateus-pl |   0 |    1 |  74
 6956 |   23 | rateus-pl |   0 |    0 |  13
 6956 |   23 | rateus-pl |   0 |    4 |  14
